review_id,product_name,review_title,review_text,text,rating,sentiment,label,source_url
6767,Air Fryer,Fine for basic use,"It is acceptable for simple tasks, but I expected a little more for the price. I used it for a few weeks before writing this review.","Fine for basic use It is acceptable for simple tasks, but I expected a little more for the price. I used it for a few weeks before writing this review.",3,Neutral,2,compiled_dataset_placeholder
2779,Bluetooth Speaker,Worth buying,"The setup was simple, the design is nice, and the performance has been strong so far. I used it for a few weeks before writing this review.","Worth buying The setup was simple, the design is nice, and the performance has been strong so far. I used it for a few weeks before writing this review.",5,Positive,1,compiled_dataset_placeholder
3985,Bluetooth Speaker,Returned it,I ended up returning this because it did not work the way I needed it to. I used it for a few weeks before writing this review.,Returned it I ended up returning this because it did not work the way I needed it to. I used it for a few weeks before writing this review.,1,Negative,0,compiled_dataset_placeholder
5240,Gaming Mouse,Not worth the money,I had several issues with this product and would not recommend buying it. Shipping was also reasonable.,Not worth the money I had several issues with this product and would not recommend buying it. Shipping was also reasonable.,1,Negative,0,compiled_dataset_placeholder
577,Smart Watch,Worth buying,"The setup was simple, the design is nice, and the performance has been strong so far. Customer service was not needed.","Worth buying The setup was simple, the design is nice, and the performance has been strong so far. Customer service was not needed.",4,Positive,1,compiled_dataset_placeholder
4467,Tablet Case,Stopped working,It worked at first but then failed after only a few uses. This review is based on regular home use.,Stopped working It worked at first but then failed after only a few uses. This review is based on regular home use.,1,Negative,0,compiled_dataset_placeholder
7142,Bluetooth Speaker,Decent but not perfect,"The product is usable, but the quality and performance could be better. Shipping was also reasonable.","Decent but not perfect The product is usable, but the quality and performance could be better. Shipping was also reasonable.",3,Neutral,2,compiled_dataset_placeholder
6637,Electric Toothbrush,It is okay,"The product works, but there are some things that could be improved.","It is okay The product works, but there are some things that could be improved.",3,Neutral,2,compiled_dataset_placeholder
3015,Smart Watch,Good everyday product,"This product is convenient, useful, and dependable for daily use. Customer service was not needed.","Good everyday product This product is convenient, useful, and dependable for daily use. Customer service was not needed.",4,Positive,1,compiled_dataset_placeholder
3247,External Hard Drive,Highly recommend,This is one of the better products I have purchased recently. It works well and is simple to use. Customer service was not needed.,Highly recommend This is one of the better products I have purchased recently. It works well and is simple to use. Customer service was not needed.,5,Positive,1,compiled_dataset_placeholder
5503,Keyboard,Returned it,I ended up returning this because it did not work the way I needed it to. This review is based on regular home use.,Returned it I ended up returning this because it did not work the way I needed it to. This review is based on regular home use.,2,Negative,0,compiled_dataset_placeholder
7174,Smart Watch,It is okay,"The product works, but there are some things that could be improved.","It is okay The product works, but there are some things that could be improved.",3,Neutral,2,compiled_dataset_placeholder
4510,Noise Cancelling Earbuds,Not worth the money,I had several issues with this product and would not recommend buying it. This review is based on regular home use.,Not worth the money I had several issues with this product and would not recommend buying it. This review is based on regular home use.,2,Negative,0,compiled_dataset_placeholder
3533,Smart Watch,Would not buy again,The quality was lower than expected and the performance was disappointing. Customer service was not needed.,Would not buy again The quality was lower than expected and the performance was disappointing. Customer service was not needed.,2,Negative,0,compiled_dataset_placeholder
1859,Backpack,Very satisfied,I have been using this for a while and it has worked consistently without any major issues. This review is based on regular home use.,Very satisfied I have been using this for a while and it has worked consistently without any major issues. This review is based on regular home use.,4,Positive,1,compiled_dataset_placeholder
3482,Desk Lamp,Returned it,I ended up returning this because it did not work the way I needed it to. I used it for a few weeks before writing this review.,Returned it I ended up returning this because it did not work the way I needed it to. I used it for a few weeks before writing this review.,1,Negative,0,compiled_dataset_placeholder
539,Portable Monitor,Solid quality,It feels well made and has held up well after repeated use. The packaging was simple.,Solid quality It feels well made and has held up well after repeated use. The packaging was simple.,5,Positive,1,compiled_dataset_placeholder
5891,Portable Monitor,Poor quality,The item feels cheaply made and does not perform as described. Shipping was also reasonable.,Poor quality The item feels cheaply made and does not perform as described. Shipping was also reasonable.,1,Negative,0,compiled_dataset_placeholder
4980,Tablet Case,Returned it,I ended up returning this because it did not work the way I needed it to. This review is based on regular home use.,Returned it I ended up returning this because it did not work the way I needed it to. This review is based on regular home use.,2,Negative,0,compiled_dataset_placeholder
7148,Fitness Tracker,Mixed experience,"Some features are useful, but other parts of the product are frustrating.","Mixed experience Some features are useful, but other parts of the product are frustrating.",3,Neutral,2,compiled_dataset_placeholder
3382,Bluetooth Speaker,Bad purchase,The product arrived with problems and did not function properly. The packaging was simple.,Bad purchase The product arrived with problems and did not function properly. The packaging was simple.,2,Negative,0,compiled_dataset_placeholder
2267,Tablet Case,Excellent product,The product works really well and feels reliable. I am happy with the quality and would recommend it. Shipping was also reasonable.,Excellent product The product works really well and feels reliable. I am happy with the quality and would recommend it. Shipping was also reasonable.,5,Positive,1,compiled_dataset_placeholder
1796,Fitness Tracker,Very satisfied,I have been using this for a while and it has worked consistently without any major issues. The packaging was simple.,Very satisfied I have been using this for a while and it has worked consistently without any major issues. The packaging was simple.,5,Positive,1,compiled_dataset_placeholder
1727,Fitness Tracker,Worth buying,"The setup was simple, the design is nice, and the performance has been strong so far. This review is based on regular home use.","Worth buying The setup was simple, the design is nice, and the performance has been strong so far. This review is based on regular home use.",4,Positive,1,compiled_dataset_placeholder
3136,Electric Toothbrush,Highly recommend,This is one of the better products I have purchased recently. It works well and is simple to use.,Highly recommend This is one of the better products I have purchased recently. It works well and is simple to use.,4,Positive,1,compiled_dataset_placeholder
3083,Keyboard,Good everyday product,"This product is convenient, useful, and dependable for daily use.","Good everyday product This product is convenient, useful, and dependable for daily use.",4,Positive,1,compiled_dataset_placeholder
133,Smart Watch,Happy with it,The product arrived on time and matched the description. I would buy it again. Customer service was not needed.,Happy with it The product arrived on time and matched the description. I would buy it again. Customer service was not needed.,4,Positive,1,compiled_dataset_placeholder
1189,Blender,Better than expected,The quality surprised me in a good way. It feels durable and does exactly what I needed. This review is based on regular home use.,Better than expected The quality surprised me in a good way. It feels durable and does exactly what I needed. This review is based on regular home use.,5,Positive,1,compiled_dataset_placeholder
6866,Tablet Case,Decent but not perfect,"The product is usable, but the quality and performance could be better. Shipping was also reasonable.","Decent but not perfect The product is usable, but the quality and performance could be better. Shipping was also reasonable.",3,Neutral,2,compiled_dataset_placeholder
4059,Backpack,Very disappointed,The product stopped working after a short time and did not meet my expectations.,Very disappointed The product stopped working after a short time and did not meet my expectations.,2,Negative,0,compiled_dataset_placeholder
555,Tablet Case,Excellent product,The product works really well and feels reliable. I am happy with the quality and would recommend it. I used it for a few weeks before writing this review.,Excellent product The product works really well and feels reliable. I am happy with the quality and would recommend it. I used it for a few weeks before writing this review.,4,Positive,1,compiled_dataset_placeholder
5389,Gaming Mouse,Bad purchase,The product arrived with problems and did not function properly. The packaging was simple.,Bad purchase The product arrived with problems and did not function properly. The packaging was simple.,1,Negative,0,compiled_dataset_placeholder
2822,Portable Monitor,Very satisfied,I have been using this for a while and it has worked consistently without any major issues.,Very satisfied I have been using this for a while and it has worked consistently without any major issues.,5,Positive,1,compiled_dataset_placeholder
2886,Bluetooth Speaker,Highly recommend,This is one of the better products I have purchased recently. It works well and is simple to use. Customer service was not needed.,Highly recommend This is one of the better products I have purchased recently. It works well and is simple to use. Customer service was not needed.,5,Positive,1,compiled_dataset_placeholder
737,Gaming Mouse,Better than expected,The quality surprised me in a good way. It feels durable and does exactly what I needed. I used it for a few weeks before writing this review.,Better than expected The quality surprised me in a good way. It feels durable and does exactly what I needed. I used it for a few weeks before writing this review.,4,Positive,1,compiled_dataset_placeholder
2834,Coffee Maker,Better than expected,The quality surprised me in a good way. It feels durable and does exactly what I needed. I used it for a few weeks before writing this review.,Better than expected The quality surprised me in a good way. It feels durable and does exactly what I needed. I used it for a few weeks before writing this review.,4,Positive,1,compiled_dataset_placeholder
3821,Tablet Case,Does not last,"After a few days of use, the product started showing problems and became unreliable. The packaging was simple.","Does not last After a few days of use, the product started showing problems and became unreliable. The packaging was simple.",1,Negative,0,compiled_dataset_placeholder
7145,Smart Watch,Average product,"It does the basic job, but it is not especially impressive.","Average product It does the basic job, but it is not especially impressive.",3,Neutral,2,compiled_dataset_placeholder
602,Backpack,Very satisfied,I have been using this for a while and it has worked consistently without any major issues. I used it for a few weeks before writing this review.,Very satisfied I have been using this for a while and it has worked consistently without any major issues. I used it for a few weeks before writing this review.,5,Positive,1,compiled_dataset_placeholder
2030,Backpack,Reliable and easy to use,Everything worked right out of the box and the instructions were easy to follow. I used it for a few weeks before writing this review.,Reliable and easy to use Everything worked right out of the box and the instructions were easy to follow. I used it for a few weeks before writing this review.,4,Positive,1,compiled_dataset_placeholder
4293,Portable Monitor,Does not last,"After a few days of use, the product started showing problems and became unreliable.","Does not last After a few days of use, the product started showing problems and became unreliable.",2,Negative,0,compiled_dataset_placeholder
2139,Electric Toothbrush,Happy with it,The product arrived on time and matched the description. I would buy it again.,Happy with it The product arrived on time and matched the description. I would buy it again.,5,Positive,1,compiled_dataset_placeholder
1794,Air Fryer,Solid quality,It feels well made and has held up well after repeated use. This review is based on regular home use.,Solid quality It feels well made and has held up well after repeated use. This review is based on regular home use.,5,Positive,1,compiled_dataset_placeholder
6123,Fitness Tracker,Not worth the money,I had several issues with this product and would not recommend buying it.,Not worth the money I had several issues with this product and would not recommend buying it.,2,Negative,0,compiled_dataset_placeholder
4060,Tablet Case,Bad purchase,The product arrived with problems and did not function properly. Shipping was also reasonable.,Bad purchase The product arrived with problems and did not function properly. Shipping was also reasonable.,2,Negative,0,compiled_dataset_placeholder
1673,Wireless Headphones,Happy with it,The product arrived on time and matched the description. I would buy it again. Customer service was not needed.,Happy with it The product arrived on time and matched the description. I would buy it again. Customer service was not needed.,5,Positive,1,compiled_dataset_placeholder
3981,Noise Cancelling Earbuds,Not worth the money,I had several issues with this product and would not recommend buying it. The packaging was simple.,Not worth the money I had several issues with this product and would not recommend buying it. The packaging was simple.,1,Negative,0,compiled_dataset_placeholder
6551,Keyboard,Fine for basic use,"It is acceptable for simple tasks, but I expected a little more for the price. Shipping was also reasonable.","Fine for basic use It is acceptable for simple tasks, but I expected a little more for the price. Shipping was also reasonable.",3,Neutral,2,compiled_dataset_placeholder
6734,Laptop Stand,It is okay,"The product works, but there are some things that could be improved. The packaging was simple.","It is okay The product works, but there are some things that could be improved. The packaging was simple.",3,Neutral,2,compiled_dataset_placeholder
3438,Water Bottle,Would not buy again,The quality was lower than expected and the performance was disappointing.,Would not buy again The quality was lower than expected and the performance was disappointing.,2,Negative,0,compiled_dataset_placeholder
7166,Coffee Maker,Average product,"It does the basic job, but it is not especially impressive. The packaging was simple.","Average product It does the basic job, but it is not especially impressive. The packaging was simple.",3,Neutral,2,compiled_dataset_placeholder
6324,Bluetooth Speaker,Does not last,"After a few days of use, the product started showing problems and became unreliable. The packaging was simple.","Does not last After a few days of use, the product started showing problems and became unreliable. The packaging was simple.",1,Negative,0,compiled_dataset_placeholder
5077,Fitness Tracker,Returned it,I ended up returning this because it did not work the way I needed it to. I used it for a few weeks before writing this review.,Returned it I ended up returning this because it did not work the way I needed it to. I used it for a few weeks before writing this review.,1,Negative,0,compiled_dataset_placeholder
252,Bluetooth Speaker,Happy with it,The product arrived on time and matched the description. I would buy it again. I used it for a few weeks before writing this review.,Happy with it The product arrived on time and matched the description. I would buy it again. I used it for a few weeks before writing this review.,4,Positive,1,compiled_dataset_placeholder
66,Portable Monitor,Very satisfied,I have been using this for a while and it has worked consistently without any major issues. Shipping was also reasonable.,Very satisfied I have been using this for a while and it has worked consistently without any major issues. Shipping was also reasonable.,4,Positive,1,compiled_dataset_placeholder
319,Electric Toothbrush,Great value,This was a great purchase for the price. It performs better than expected and was easy to use.,Great value This was a great purchase for the price. It performs better than expected and was easy to use.,5,Positive,1,compiled_dataset_placeholder
6188,Gaming Mouse,Very disappointed,The product stopped working after a short time and did not meet my expectations. I used it for a few weeks before writing this review.,Very disappointed The product stopped working after a short time and did not meet my expectations. I used it for a few weeks before writing this review.,1,Negative,0,compiled_dataset_placeholder
409,Noise Cancelling Earbuds,Reliable and easy to use,Everything worked right out of the box and the instructions were easy to follow. This review is based on regular home use.,Reliable and easy to use Everything worked right out of the box and the instructions were easy to follow. This review is based on regular home use.,5,Positive,1,compiled_dataset_placeholder
2376,Portable Monitor,Excellent product,The product works really well and feels reliable. I am happy with the quality and would recommend it. I used it for a few weeks before writing this review.,Excellent product The product works really well and feels reliable. I am happy with the quality and would recommend it. I used it for a few weeks before writing this review.,5,Positive,1,compiled_dataset_placeholder
3440,Portable Monitor,Stopped working,It worked at first but then failed after only a few uses. Customer service was not needed.,Stopped working It worked at first but then failed after only a few uses. Customer service was not needed.,2,Negative,0,compiled_dataset_placeholder
734,Water Bottle,Good everyday product,"This product is convenient, useful, and dependable for daily use. Customer service was not needed.","Good everyday product This product is convenient, useful, and dependable for daily use. Customer service was not needed.",4,Positive,1,compiled_dataset_placeholder
6550,Smart Watch,Decent but not perfect,"The product is usable, but the quality and performance could be better. The packaging was simple.","Decent but not perfect The product is usable, but the quality and performance could be better. The packaging was simple.",3,Neutral,2,compiled_dataset_placeholder
4952,External Hard Drive,Frustrating experience,The setup was confusing and the product did not work consistently. Customer service was not needed.,Frustrating experience The setup was confusing and the product did not work consistently. Customer service was not needed.,1,Negative,0,compiled_dataset_placeholder
62,Fitness Tracker,Great value,This was a great purchase for the price. It performs better than expected and was easy to use. This review is based on regular home use.,Great value This was a great purchase for the price. It performs better than expected and was easy to use. This review is based on regular home use.,4,Positive,1,compiled_dataset_placeholder
1980,Wireless Headphones,Excellent product,The product works really well and feels reliable. I am happy with the quality and would recommend it. This review is based on regular home use.,Excellent product The product works really well and feels reliable. I am happy with the quality and would recommend it. This review is based on regular home use.,4,Positive,1,compiled_dataset_placeholder
5510,Phone Charger,Not worth the money,I had several issues with this product and would not recommend buying it. This review is based on regular home use.,Not worth the money I had several issues with this product and would not recommend buying it. This review is based on regular home use.,1,Negative,0,compiled_dataset_placeholder
2782,Coffee Maker,Reliable and easy to use,Everything worked right out of the box and the instructions were easy to follow. The packaging was simple.,Reliable and easy to use Everything worked right out of the box and the instructions were easy to follow. The packaging was simple.,5,Positive,1,compiled_dataset_placeholder
2944,Fitness Tracker,Good everyday product,"This product is convenient, useful, and dependable for daily use. Customer service was not needed.","Good everyday product This product is convenient, useful, and dependable for daily use. Customer service was not needed.",5,Positive,1,compiled_dataset_placeholder
7212,Smart Watch,Mixed experience,"Some features are useful, but other parts of the product are frustrating. This review is based on regular home use.","Mixed experience Some features are useful, but other parts of the product are frustrating. This review is based on regular home use.",3,Neutral,2,compiled_dataset_placeholder
2081,Robot Vacuum,Highly recommend,This is one of the better products I have purchased recently. It works well and is simple to use. This review is based on regular home use.,Highly recommend This is one of the better products I have purchased recently. It works well and is simple to use. This review is based on regular home use.,4,Positive,1,compiled_dataset_placeholder
4555,Phone Charger,Poor quality,The item feels cheaply made and does not perform as described. Customer service was not needed.,Poor quality The item feels cheaply made and does not perform as described. Customer service was not needed.,1,Negative,0,compiled_dataset_placeholder
1704,Keyboard,Very satisfied,I have been using this for a while and it has worked consistently without any major issues. I used it for a few weeks before writing this review.,Very satisfied I have been using this for a while and it has worked consistently without any major issues. I used it for a few weeks before writing this review.,5,Positive,1,compiled_dataset_placeholder
4587,External Hard Drive,Below expectations,The description made it sound better than it actually is. I was not satisfied. This review is based on regular home use.,Below expectations The description made it sound better than it actually is. I was not satisfied. This review is based on regular home use.,2,Negative,0,compiled_dataset_placeholder
1025,Laptop Stand,Good everyday product,"This product is convenient, useful, and dependable for daily use. I used it for a few weeks before writing this review.","Good everyday product This product is convenient, useful, and dependable for daily use. I used it for a few weeks before writing this review.",5,Positive,1,compiled_dataset_placeholder
5682,Phone Charger,Bad purchase,The product arrived with problems and did not function properly. Shipping was also reasonable.,Bad purchase The product arrived with problems and did not function properly. Shipping was also reasonable.,2,Negative,0,compiled_dataset_placeholder
2111,Portable Monitor,Good everyday product,"This product is convenient, useful, and dependable for daily use. I used it for a few weeks before writing this review.","Good everyday product This product is convenient, useful, and dependable for daily use. I used it for a few weeks before writing this review.",5,Positive,1,compiled_dataset_placeholder
6881,Fitness Tracker,Average product,"It does the basic job, but it is not especially impressive. I used it for a few weeks before writing this review.","Average product It does the basic job, but it is not especially impressive. I used it for a few weeks before writing this review.",3,Neutral,2,compiled_dataset_placeholder
3379,Air Fryer,Very disappointed,The product stopped working after a short time and did not meet my expectations. The packaging was simple.,Very disappointed The product stopped working after a short time and did not meet my expectations. The packaging was simple.,2,Negative,0,compiled_dataset_placeholder
3414,Keyboard,Very disappointed,The product stopped working after a short time and did not meet my expectations.,Very disappointed The product stopped working after a short time and did not meet my expectations.,1,Negative,0,compiled_dataset_placeholder
320,Coffee Maker,Great value,This was a great purchase for the price. It performs better than expected and was easy to use. The packaging was simple.,Great value This was a great purchase for the price. It performs better than expected and was easy to use. The packaging was simple.,5,Positive,1,compiled_dataset_placeholder
2252,Water Bottle,Solid quality,It feels well made and has held up well after repeated use. The packaging was simple.,Solid quality It feels well made and has held up well after repeated use. The packaging was simple.,5,Positive,1,compiled_dataset_placeholder
997,Bluetooth Speaker,Reliable and easy to use,Everything worked right out of the box and the instructions were easy to follow. This review is based on regular home use.,Reliable and easy to use Everything worked right out of the box and the instructions were easy to follow. This review is based on regular home use.,5,Positive,1,compiled_dataset_placeholder
473,Air Fryer,Better than expected,The quality surprised me in a good way. It feels durable and does exactly what I needed.,Better than expected The quality surprised me in a good way. It feels durable and does exactly what I needed.,5,Positive,1,compiled_dataset_placeholder
2446,Wireless Headphones,Good everyday product,"This product is convenient, useful, and dependable for daily use. This review is based on regular home use.","Good everyday product This product is convenient, useful, and dependable for daily use. This review is based on regular home use.",4,Positive,1,compiled_dataset_placeholder
1791,Water Bottle,Better than expected,The quality surprised me in a good way. It feels durable and does exactly what I needed. I used it for a few weeks before writing this review.,Better than expected The quality surprised me in a good way. It feels durable and does exactly what I needed. I used it for a few weeks before writing this review.,5,Positive,1,compiled_dataset_placeholder
4457,Air Fryer,Does not last,"After a few days of use, the product started showing problems and became unreliable. This review is based on regular home use.","Does not last After a few days of use, the product started showing problems and became unreliable. This review is based on regular home use.",2,Negative,0,compiled_dataset_placeholder
1672,Coffee Maker,Great value,This was a great purchase for the price. It performs better than expected and was easy to use. This review is based on regular home use.,Great value This was a great purchase for the price. It performs better than expected and was easy to use. This review is based on regular home use.,4,Positive,1,compiled_dataset_placeholder
5895,Air Fryer,Does not last,"After a few days of use, the product started showing problems and became unreliable. Customer service was not needed.","Does not last After a few days of use, the product started showing problems and became unreliable. Customer service was not needed.",2,Negative,0,compiled_dataset_placeholder
5399,Air Fryer,Not worth the money,I had several issues with this product and would not recommend buying it.,Not worth the money I had several issues with this product and would not recommend buying it.,1,Negative,0,compiled_dataset_placeholder
6054,Blender,Bad purchase,The product arrived with problems and did not function properly. Shipping was also reasonable.,Bad purchase The product arrived with problems and did not function properly. Shipping was also reasonable.,1,Negative,0,compiled_dataset_placeholder
5610,Desk Lamp,Very disappointed,The product stopped working after a short time and did not meet my expectations. I used it for a few weeks before writing this review.,Very disappointed The product stopped working after a short time and did not meet my expectations. I used it for a few weeks before writing this review.,1,Negative,0,compiled_dataset_placeholder
4619,Gaming Mouse,Very disappointed,The product stopped working after a short time and did not meet my expectations. Customer service was not needed.,Very disappointed The product stopped working after a short time and did not meet my expectations. Customer service was not needed.,1,Negative,0,compiled_dataset_placeholder
626,Laptop Stand,Excellent product,The product works really well and feels reliable. I am happy with the quality and would recommend it. I used it for a few weeks before writing this review.,Excellent product The product works really well and feels reliable. I am happy with the quality and would recommend it. I used it for a few weeks before writing this review.,5,Positive,1,compiled_dataset_placeholder
4741,Keyboard,Below expectations,The description made it sound better than it actually is. I was not satisfied. Customer service was not needed.,Below expectations The description made it sound better than it actually is. I was not satisfied. Customer service was not needed.,2,Negative,0,compiled_dataset_placeholder
7083,Wireless Headphones,Fine for basic use,"It is acceptable for simple tasks, but I expected a little more for the price. This review is based on regular home use.","Fine for basic use It is acceptable for simple tasks, but I expected a little more for the price. This review is based on regular home use.",3,Neutral,2,compiled_dataset_placeholder
5606,Desk Lamp,Stopped working,It worked at first but then failed after only a few uses.,Stopped working It worked at first but then failed after only a few uses.,1,Negative,0,compiled_dataset_placeholder
3306,Bluetooth Speaker,Poor quality,The item feels cheaply made and does not perform as described. Customer service was not needed.,Poor quality The item feels cheaply made and does not perform as described. Customer service was not needed.,2,Negative,0,compiled_dataset_placeholder
7344,Keyboard,Decent but not perfect,"The product is usable, but the quality and performance could be better. The packaging was simple.","Decent but not perfect The product is usable, but the quality and performance could be better. The packaging was simple.",3,Neutral,2,compiled_dataset_placeholder
4673,Portable Monitor,Poor quality,The item feels cheaply made and does not perform as described.,Poor quality The item feels cheaply made and does not perform as described.,1,Negative,0,compiled_dataset_placeholder
5231,Smart Watch,Frustrating experience,The setup was confusing and the product did not work consistently. Customer service was not needed.,Frustrating experience The setup was confusing and the product did not work consistently. Customer service was not needed.,2,Negative,0,compiled_dataset_placeholder
6888,Desk Lamp,Average product,"It does the basic job, but it is not especially impressive. Shipping was also reasonable.","Average product It does the basic job, but it is not especially impressive. Shipping was also reasonable.",3,Neutral,2,compiled_dataset_placeholder
7032,Backpack,Average product,"It does the basic job, but it is not especially impressive. I used it for a few weeks before writing this review.","Average product It does the basic job, but it is not especially impressive. I used it for a few weeks before writing this review.",3,Neutral,2,compiled_dataset_placeholder
3423,Tablet Case,Stopped working,It worked at first but then failed after only a few uses.,Stopped working It worked at first but then failed after only a few uses.,2,Negative,0,compiled_dataset_placeholder
1804,Noise Cancelling Earbuds,Highly recommend,This is one of the better products I have purchased recently. It works well and is simple to use. I used it for a few weeks before writing this review.,Highly recommend This is one of the better products I have purchased recently. It works well and is simple to use. I used it for a few weeks before writing this review.,4,Positive,1,compiled_dataset_placeholder
1200,Air Fryer,Highly recommend,This is one of the better products I have purchased recently. It works well and is simple to use.,Highly recommend This is one of the better products I have purchased recently. It works well and is simple to use.,4,Positive,1,compiled_dataset_placeholder
4161,Keyboard,Poor quality,The item feels cheaply made and does not perform as described.,Poor quality The item feels cheaply made and does not perform as described.,1,Negative,0,compiled_dataset_placeholder
6209,Phone Charger,Frustrating experience,The setup was confusing and the product did not work consistently.,Frustrating experience The setup was confusing and the product did not work consistently.,1,Negative,0,compiled_dataset_placeholder
5667,Noise Cancelling Earbuds,Does not last,"After a few days of use, the product started showing problems and became unreliable.","Does not last After a few days of use, the product started showing problems and became unreliable.",2,Negative,0,compiled_dataset_placeholder
983,Wireless Headphones,Highly recommend,This is one of the better products I have purchased recently. It works well and is simple to use. I used it for a few weeks before writing this review.,Highly recommend This is one of the better products I have purchased recently. It works well and is simple to use. I used it for a few weeks before writing this review.,4,Positive,1,compiled_dataset_placeholder
394,Smart Watch,Reliable and easy to use,Everything worked right out of the box and the instructions were easy to follow. This review is based on regular home use.,Reliable and easy to use Everything worked right out of the box and the instructions were easy to follow. This review is based on regular home use.,5,Positive,1,compiled_dataset_placeholder
6621,Wireless Headphones,It is okay,"The product works, but there are some things that could be improved. Shipping was also reasonable.","It is okay The product works, but there are some things that could be improved. Shipping was also reasonable.",3,Neutral,2,compiled_dataset_placeholder
2311,Phone Charger,Happy with it,The product arrived on time and matched the description. I would buy it again. This review is based on regular home use.,Happy with it The product arrived on time and matched the description. I would buy it again. This review is based on regular home use.,4,Positive,1,compiled_dataset_placeholder
